,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
15466,510186000782,Not Applicable,5101860,457,High,1223,127.0400009,14.7,989,880,0.5291599786,0.5291599786,0.6543606207,1,VIRGINIA,51,83,466,1,21,52,209,10,173,39,312,1,3,171,1,12941,899,80,418,74
15467,510348001532,Not Applicable,5103480,179,High,329,35.63000107,18.4,337,317,0.5152905199,0.5152905199,0.503058104,1,VIRGINIA,51,90,184,0,1,1,3,4,175,17,98,2,1,1,1,10659,254,95,133,95
15468,510348001536,Not Applicable,5103480,51,High,141,21.55999947,11.4,130,115,0.5306122449,0.5306122449,0.5755102041,1,VIRGINIA,51,80,55,0,0,0,1,0,54,8,30,0,0,0,1,10659,72,85,47,80
15469,510348001539,Not Applicable,5103480,40,High,149,22.98999977,9.6,102,119,0.4615384615,0.4615384615,0.6742081448,1,VIRGINIA,51,90,40,0,0,0,0,0,40,8,25,0,2,0,1,10659,74,95,43,80
15470,510024000076,Not Applicable,5100240,185,High,276,54.83000183,12.6,347,342,0.503628447,0.503628447,0.4005805515,1,VIRGINIA,51,85,192,0,2,39,4,12,135,22,82,1,1,0,1,10339,296,85,50.59406569,75
15471,510021000065,Not Applicable,5100210,263,High,525,86.98999786,13.3,603,554,0.5211754538,0.5211754538,0.4537597234,1,VIRGINIA,51,82,287,3,3,65,15,18,183,31,151,0,6,1,1,11167,444,85,50.59406569,80
15472,510036000151,Not Applicable,5100360,201,High,331,59.49000168,13,404,370,0.5219638243,0.5219638243,0.4276485788,1,VIRGINIA,51,83,206,0,1,21,7,10,167,31,88,1,3,1,1,10756,284,60,50.59406569,85
15473,510036000156,Not Applicable,5100360,220,High,397,68.68000031,13.8,475,474,0.5005268704,0.5005268704,0.4183350896,1,VIRGINIA,51,85,235,2,0,6,4,6,217,31,94,0,3,1,1,10756,399,91,50.59406569,80
15474,510036002175,Not Applicable,5100360,351,High,201,86.25,16.2,728,667,0.5218637993,0.5218637993,0.1440860215,1,VIRGINIA,51,90,358,1,12,19,10,6,310,24,52,2,0,4,1,10756,502,95,50.59406569,96
15475,510060000220,Not Applicable,5100600,75,High,296,51.31000137,12.8,342,315,0.5205479452,0.5205479452,0.4505327245,1,VIRGINIA,51,85,91,1,1,23,2,3,61,10,45,0,2,1,1,10564,159,90,50.59406569,85
15476,510060000223,Not Applicable,5100600,241,High,267,63.97999954,15.6,499,498,0.5005015045,0.5005015045,0.2678034102,1,VIRGINIA,51,92,260,1,7,32,8,11,201,17,68,2,3,4,1,10564,371,91,50.59406569,90
15477,510060000231,Not Applicable,5100600,205,High,309,56.47999954,14.6,444,382,0.5375302663,0.5375302663,0.3740920097,1,VIRGINIA,51,90,220,1,1,26,3,4,185,20,85,3,2,3,1,10564,287,85,50.59406569,85
15478,510060000233,Not Applicable,5100600,71,High,233,38.34999847,11.1,222,203,0.5223529412,0.5223529412,0.5482352941,1,VIRGINIA,51,90,72,0,0,18,2,5,47,8,31,0,0,0,1,10564,73,75,50.59406569,85
15479,510234000956,Not Applicable,5102340,330,High,674,102.8499985,13.4,690,692,0.499276411,0.499276411,0.487698987,1,VIRGINIA,51,80,344,2,6,154,11,15,156,38,162,5,3,9,1,12965,622,76,323,78
15480,510234000960,Not Applicable,5102340,227,High,612,74.55999756,14.1,522,532,0.495256167,0.495256167,0.5806451613,1,VIRGINIA,51,80,258,1,3,132,17,21,84,34,139,1,4,11,1,12965,434,78,229,80
15481,510192000837,Not Applicable,5101920,254,High,984,80.73999786,13.8,577,540,0.5165622202,0.5165622202,0.8809310654,1,VIRGINIA,51,86,280,1,1,39,28,22,189,25,120,1,1,11,1,10255,462,79,283,80
15482,510192002125,Not Applicable,5101920,240,High,956,75.30000305,14.3,583,495,0.5408163265,0.5408163265,0.8868274583,1,VIRGINIA,51,83,262,1,2,58,32,19,150,37,120,4,1,8,1,10255,386,82,272,85
15483,510240000988,Not Applicable,5102400,138,High,550,45.43999863,12.2,290,263,0.5244122966,0.5244122966,0.9945750452,1,VIRGINIA,51,85,150,0,2,89,15,3,41,19,83,0,4,8,1,13456,259,85,139,60
15484,510183002338,Not Applicable,5101830,344,High,191,92.27999878,15.2,664,741,0.4725978648,0.4725978648,0.1359430605,1,VIRGINIA,51,96,338,2,3,33,7,7,286,43,32,1,0,4,1,10508,734,90,313,90
15485,510183000114,Not Applicable,5101830,428,High,159,100.8399963,16,840,775,0.520123839,0.520123839,0.09845201238,1,VIRGINIA,51,93,430,1,13,26,16,10,364,43,39,1,0,7,1,10508,769,94,401,90
15486,510183000772,Not Applicable,5101830,376,High,290,100.8600006,14.7,773,705,0.5230040595,0.5230040595,0.1962110961,1,VIRGINIA,51,94,381,0,8,42,13,11,307,49,63,2,2,7,1,10508,718,85,352,87
15487,510183000776,Not Applicable,5101830,331,High,357,91.26999664,15.2,739,649,0.5324207493,0.5324207493,0.257204611,1,VIRGINIA,51,88,350,3,5,45,26,7,264,54,73,1,4,10,1,10508,682,82,369,80
15488,510018001828,Not Applicable,5100180,144,High,229,33.90000153,15.5,280,247,0.5313092979,0.5313092979,0.4345351044,1,VIRGINIA,51,90,144,0,1,37,9,4,93,13,55,0,0,6,1,10020,203,90,50.59406569,90
15489,510066000238,Not Applicable,5100660,276,High,534,67.66000366,17.4,608,571,0.5156912638,0.5156912638,0.4529262087,1,VIRGINIA,51,89,297,2,6,71,18,22,178,48,123,1,6,4,1,10627,521,78,50.59406569,85
15490,510108000057,Not Applicable,5101080,107,High,220,30.92000008,13.6,226,193,0.5393794749,0.5393794749,0.5250596659,1,VIRGINIA,51,85,120,0,1,57,4,3,55,13,84,0,0,1,1,11876,167,70,50.59406569,70
15491,510212000886,Not Applicable,5102120,170,High,209,45.83000183,15.8,398,324,0.5512465374,0.5512465374,0.2894736842,1,VIRGINIA,51,85,177,7,1,26,5,4,134,22,47,0,1,2,1,11760,225,80,175,85
15492,510395001763,Not Applicable,5103950,65,High,61,21.04000092,12.9,141,130,0.520295203,0.520295203,0.2250922509,1,VIRGINIA,51,90,64,1,1,6,2,8,46,4,8,0,0,0,1,12731,98,90,77,95
