,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
10756,360756000540,Yes,3607560,28,High,63,17.01000023,8.1,70,68,0.5072463768,0.5072463768,0.4565217391,1,NEW YORK,36,90,46,0,0,0,1,1,44,9,21,0,0,0,1,24796,40.50417174,80,50.59406569,80
10757,360846000646,Yes,3608460,190,High,344,52.00999832,13.6,360,345,0.5106382979,0.5106382979,0.4879432624,1,NEW YORK,36,80,177,0,3,7,7,8,152,18,88,1,0,0,1,20727,40.50417174,95,50.59406569,90
10758,361464001217,Yes,3614640,150,High,231,49,12.4,331,277,0.5444078947,0.5444078947,0.3799342105,1,NEW YORK,36,95,151,0,0,1,1,2,147,23,43,0,1,0,1,19233,40.50417174,95,50.59406569,95
10759,361845001661,Yes,3618450,47,High,155,35.02999878,8.6,159,143,0.5264900662,0.5264900662,0.5132450331,1,NEW YORK,36,90,44,0,0,2,0,0,42,4,20,0,2,0,1,22656,40.50417174,90,50.59406569,90
10760,361884001711,Yes,3618840,39,High,148,31.03000069,9.4,136,157,0.4641638225,0.4641638225,0.5051194539,1,NEW YORK,36,90,33,0,1,1,0,1,30,6,16,0,0,0,1,19543,40.50417174,80,50.59406569,80
10761,361056000824,Yes,3610560,393,High,627,75.93000031,16.1,660,563,0.5396565822,0.5396565822,0.5126737531,1,NEW YORK,36,72,433,1,2,87,10,10,323,61,239,2,2,0,1,19105,40.50417174,86,50.59406569,89
10762,361059000830,Not Applicable,3610590,70,High,134,21.01000023,14.2,149,150,0.4983277592,0.4983277592,0.4481605351,1,NEW YORK,36,80,68,0,1,0,0,2,65,11,35,0,1,0,1,17124,40.50417174,90,50.59406569,85
10763,361485001241,Not Applicable,3614850,347,High,355,85.94000244,15.5,670,665,0.5018726592,0.5018726592,0.265917603,1,NEW YORK,36,89,285,0,10,6,8,5,256,21,72,0,0,0,1,18457,40.50417174,96,50.59406569,94
10764,361224000981,Not Applicable,3612240,130,High,0,40.00999832,16.3,341,310,0.5238095238,0.5238095238,0,1,NEW YORK,36,85,149,0,2,9,6,3,129,22,74,1,8,1,1,18616,40.50417174,90,50.59406569,90
10765,361311001075,Yes,3613110,53,High,159,33.34999847,9.7,177,146,0.5479876161,0.5479876161,0.4922600619,1,NEW YORK,36,90,64,0,1,0,0,0,63,4,37,0,0,0,1,28095,40.50417174,90,50.59406569,90
10766,361647001458,Yes,3616470,68,High,101,47.00999832,9.1,224,206,0.5209302326,0.5209302326,0.2348837209,1,NEW YORK,36,90,84,0,1,1,0,0,82,10,24,0,4,0,1,28447,40.50417174,95,50.59406569,95
10767,362403003318,Not Applicable,3624030,267,High,296,80.62999725,13.8,580,530,0.5225225225,0.5225225225,0.2666666667,1,NEW YORK,36,89,283,1,7,3,5,4,263,34,81,1,5,2,1,16420,40.50417174,85,50.59406569,95
10768,362991004028,Not Applicable,3629910,56,High,172,35.02000046,9.9,195,150,0.5652173913,0.5652173913,0.4985507246,1,NEW YORK,36,90,68,0,0,0,1,1,66,12,36,0,3,0,1,25231,40.50417174,90,50.59406569,90
10769,360321000083,Yes,3603210,32,High,81,22.02000046,9.7,105,108,0.4929577465,0.4929577465,0.3802816901,1,NEW YORK,36,90,49,0,0,0,1,0,48,5,19,0,2,0,1,23602,40.50417174,90,50.59406569,90
10770,360621000401,Yes,3606210,69,High,117,40.02999878,10.4,235,180,0.5662650602,0.5662650602,0.2819277108,1,NEW YORK,36,90,80,0,1,1,5,0,73,9,26,0,0,2,1,22572,40.50417174,90,50.59406569,90
10771,361128000891,Yes,3611280,42,High,100,18.51000023,13,140,101,0.5809128631,0.5809128631,0.4149377593,1,NEW YORK,36,60,26,0,2,0,0,0,24,5,17,0,1,0,0,22579,40.50417174,90,50.59406569,90
10772,361245001011,Yes,3612450,102,High,259,55.43999863,10.1,307,255,0.5462633452,0.5462633452,0.4608540925,1,NEW YORK,36,80,75,0,0,0,0,1,74,18,31,0,1,0,1,20554,40.50417174,90,50.59406569,90
